2025-05-14T14:19:29.235Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 316ms
2025-05-14T14:19:29.488Z [info]: Logged request to /api/stock/inventory-with-stocks | Method: GET | Status Code: 200 | Duration: 472ms
2025-05-14T14:19:29.488Z [info]: Logged request to /api/listing/templates | Method: GET | Status Code: 304 | Duration: 458ms
2025-05-14T14:19:29.499Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 493ms
2025-05-14T14:19:29.743Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 229ms
2025-05-14T14:19:29.854Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 395ms
2025-05-14T14:19:29.997Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 553ms
2025-05-14T14:19:30.352Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 582ms
2025-05-14T14:19:30.596Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 477ms
2025-05-14T14:19:30.963Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 681ms
2025-05-14T14:19:31.199Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 282ms
2025-05-14T14:19:31.629Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 360ms
2025-05-14T14:19:35.023Z [info]: Logged request to /api/stock/get/68246c9426060a83f37c49ff | Method: GET | Status Code: 200 | Duration: 668ms
2025-05-14T14:19:35.024Z [info]: Logged request to /api/inventory/68246c9426060a83f37c49ff | Method: GET | Status Code: 304 | Duration: 675ms
2025-05-14T14:19:36.392Z [info]: Logged request to /api/ebay/taxonomy/get-ebay-category-aspects/80053 | Method: GET | Status Code: 304 | Duration: 1279ms
2025-05-14T14:19:56.544Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 124ms
2025-05-14T14:19:56.631Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 249ms
2025-05-14T14:19:56.662Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 256ms
2025-05-14T14:19:56.740Z [info]: Logged request to /api/product-category | Method: GET | Status Code: 304 | Duration: 353ms
2025-05-14T14:19:56.846Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 304 | Duration: 421ms
2025-05-14T14:19:56.913Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 271ms
2025-05-14T14:20:06.158Z [info]: Logged request to /api/taxes | Method: GET | Status Code: 304 | Duration: 175ms
2025-05-14T14:20:06.182Z [info]: Logged request to /api/me | Method: GET | Status Code: 304 | Duration: 338ms
2025-05-14T14:20:06.308Z [info]: Logged request to /api/discount | Method: GET | Status Code: 304 | Duration: 337ms
2025-05-14T14:20:06.425Z [info]: Logged request to /api/listing/search?page=1&limit=10 | Method: GET | Status Code: 304 | Duration: 453ms
